osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
37690486,Klonowa,compacted,grade2,,,0.15,77,Good,yes,yes,service,51.258825,16.894196,51.260152,16.893901,20,23,12,10,7,5
46606188,,compacted,grade2,,,0.21,77,Good,yes,yes,track,51.029034,17.154517,51.028539,17.154951,20,23,12,10,7,5
67251004,Spacerowa,fine_gravel,grade3,intermediate,,0.49,77,Good,yes,yes,track,51.193203,17.191826,51.193061,17.198799,25,15,15,10,7,5
71176568,,compacted,grade2,,,0.17,77,Good,yes,yes,track,51.082156,16.97898,51.082996,16.977403,20,23,12,10,7,5
164387375,,compacted,grade2,,,0.46,77,Good,yes,yes,track,51.122016,17.315243,51.120308,17.321233,20,23,12,10,7,5
164857942,Grobla Szczytnicko-Bartoszowicka,compacted,,intermediate,,2.3,77,Good,yes,designated,path,51.098418,17.092476,51.101138,17.122788,20,15,15,15,7,5
178034032,,gravel,,good,,1.26,77,Good,yes,yes,service,51.26906,16.872563,51.265978,16.85621,22,15,18,10,7,5
180312470,,fine_gravel,grade3,intermediate,,2.12,77,Good,yes,yes,track,51.261363,16.799904,51.254609,16.824485,25,15,15,10,7,5
180740373,,compacted,grade2,,,0.19,77,Good,yes,yes,track,51.120308,17.321233,51.119696,17.323841,20,23,12,10,7,5
183899689,,compacted,grade2,,,0.36,77,Good,yes,yes,track,51.119655,17.324016,51.118533,17.328816,20,23,12,10,7,5
186382095,Droga Murzycka,gravel,,good,,0.88,77,Good,yes,yes,service,51.309725,16.881939,51.303498,16.87444,22,15,18,10,7,5
219159662,Prochowa,compacted,grade2,,,0.11,77,Good,yes,yes,track,50.868568,17.458697,50.867757,17.457753,20,23,12,10,7,5
222522513,,compacted,,intermediate,,0.55,77,Good,yes,yes,path,51.102967,17.135536,51.103306,17.142948,20,15,15,15,7,5
234628855,,compacted,,intermediate,,1.07,77,Good,yes,yes,path,51.133555,17.020268,51.135062,17.005147,20,15,15,15,7,5
247485939,,compacted,grade2,,,2.07,77,Good,yes,yes,track,51.163668,16.523444,51.154134,16.498679,20,23,12,10,7,5
264564560,Grobla Blizanowice-Trestno,compacted,,intermediate,,0.72,77,Good,yes,designated,path,51.076487,17.143589,51.082196,17.14433,20,15,15,15,7,5
267158687,,compacted,grade2,,,1.15,77,Good,yes,yes,track,51.312449,16.529495,51.305009,16.539306,20,23,12,10,7,5
274214302,,compacted,grade2,,,0.34,77,Good,yes,yes,track,51.150858,17.078426,51.148104,17.080031,20,23,12,10,7,5
274214322,,compacted,grade2,,,0.27,77,Good,yes,yes,track,51.15168,17.078196,51.151507,17.081255,20,23,12,10,7,5
277513642,,compacted,,intermediate,,1.54,77,Good,yes,yes,path,51.081258,16.998511,51.085948,16.980823,20,15,15,15,7,5
284132412,,compacted,,intermediate,,0.26,77,Good,yes,yes,path,51.135433,17.002259,51.135765,16.998583,20,15,15,15,7,5
289622869,,gravel,,good,,1.24,77,Good,yes,yes,service,51.303498,16.87444,51.307031,16.860522,22,15,18,10,7,5
294715136,,compacted,grade2,,,0.26,77,Good,yes,yes,track,51.331538,16.490949,51.333411,16.488675,20,23,12,10,7,5
298751593,,compacted,,intermediate,,0.71,77,Good,yes,designated,path,51.100786,16.953325,51.107012,16.951162,20,15,15,15,7,5
303594751,,compacted,grade2,,,0.25,77,Good,yes,yes,track,51.148707,16.923354,51.149589,16.920037,20,23,12,10,7,5
311904835,,compacted,,intermediate,,0.11,77,Good,yes,yes,path,51.08973,17.014333,51.089256,17.013028,20,15,15,15,7,5
